id,time_zone,quality_grade,license,url,sound_url,latitude,longitude,private_latitude,private_longitude,coordinates_obscured,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
299527,Hawaii,research,,http://www.inaturalist.org/observations/299527,,25.538101,-100.274735,,,false,Rheohyla miotympanum,Rheohyla miotympanum,Calates,Amphibia,554652
383796,Mexico City,research,CC-BY-NC,http://conabio.inaturalist.org/observations/383796,,25.666249,-100.271455,,,false,Rio Grande Leopard Frog,Lithobates berlandieri,Rana leopardo,Amphibia,65975
412373,Monterrey,research,CC-BY-NC,http://conabio.inaturalist.org/observations/412373,,25.54855,-100.270811,,,false,Rheohyla miotympanum,Rheohyla miotympanum,Calates,Amphibia,554652
425412,Monterrey,research,CC-BY-NC,http://conabio.inaturalist.org/observations/425412,,25.548588,-100.270838,,,false,rana leopardo del río Bravo (Lithobates berlandieri),Lithobates berlandieri,Rana leopardo,Amphibia,65975
440981,Monterrey,research,CC-BY-NC-ND,http://conabio.inaturalist.org/observations/440981,,25.712862,-100.313969,,,false,Sapo de puntos rojos,Anaxyrus punctatus,Sapo de puntos rojos,Amphibia,64984
688500,Monterrey,research,CC-BY-NC,http://www.inaturalist.org/observations/688500,,25.549496,-100.270825,,,false,Camp's Frog,Eleutherodactylus campi,Rana Chirriadora Mexicana,Amphibia,1146656
688611,Monterrey,research,CC-BY-NC,http://www.inaturalist.org/observations/688611,,25.539107,-100.274572,,,false,Rheohyla miotympanum,Rheohyla miotympanum,Calates,Amphibia,554652
816837,Monterrey,research,CC-BY-NC,http://conabio.inaturalist.org/observations/816837,,25.7163311111,-100.3127755556,,,false,sapo de la planicie costera,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
876149,Monterrey,research,CC-BY-NC,http://conabio.inaturalist.org/observations/876149,,25.674949,-100.303802,,,false,Rheohyla miotympanum,Rheohyla miotympanum,Calates,Amphibia,554652
912059,Hawaii,research,,http://www.inaturalist.org/observations/912059,,25.586787,-100.254313,,,false,Rheohyla miotympanum,Rheohyla miotympanum,Calates,Amphibia,554652
2977590,Monterrey,research,CC-BY,http://conabio.inaturalist.org/observations/2977590,,25.586962,-100.281132,,,false,Gulf Coast Toad,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
3082833,Monterrey,research,CC-BY-NC,http://conabio.inaturalist.org/observations/3082833,,25.540103,-100.272603,,,false,Rheohyla miotympanum,Rheohyla miotympanum,Calates,Amphibia,554652
3121795,Monterrey,research,CC-BY-NC,http://conabio.inaturalist.org/observations/3121795,,25.548574,-100.270844,,,false,Rana leopardo,Lithobates berlandieri,Rana leopardo,Amphibia,65975
3307959,Ekaterinburg,research,CC-BY-NC,http://conabio.inaturalist.org/observations/3307959,,25.5485515594,-100.2708206177,,,false,Rio Grande Leopard Frog,Lithobates berlandieri,Rana leopardo,Amphibia,65975
3512681,Central Time (US & Canada),research,CC-BY-NC,http://conabio.inaturalist.org/observations/3512681,,25.5498558,-100.2703875,,,false,Rheohyla miotympanum,Rheohyla miotympanum,Calates,Amphibia,554652
3709112,Central Time (US & Canada),research,CC-BY-NC-ND,http://conabio.inaturalist.org/observations/3709112,,25.5486878012,-100.2708280832,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
3763352,Central Time (US & Canada),research,CC-BY-NC-SA,http://conabio.inaturalist.org/observations/3763352,,25.5486176229,-100.268557258,,,false,Rheohyla miotympanum,Rheohyla miotympanum,Calates,Amphibia,554652
4059314,Central Time (US & Canada),research,CC-BY-NC,http://conabio.inaturalist.org/observations/4059314,,25.54867625,-100.2707898333,,,false,Rio Grande Leopard Frog,Lithobates berlandieri,Rana leopardo,Amphibia,65975
4201458,Central Time (US & Canada),research,,http://conabio.inaturalist.org/observations/4201458,,25.5601442928,-100.2603775264,,,false,Rheohyla miotympanum,Rheohyla miotympanum,Calates,Amphibia,554652
4201480,Central Time (US & Canada),research,,http://conabio.inaturalist.org/observations/4201480,,25.5531538195,-100.2678823484,,,false,Rheohyla miotympanum,Rheohyla miotympanum,Calates,Amphibia,554652
4235067,Central Time (US & Canada),research,,http://conabio.inaturalist.org/observations/4235067,,25.6001883333,-100.2561633333,,,false,Sapo nebuloso,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
4297142,Central Time (US & Canada),research,CC-BY-NC,http://conabio.inaturalist.org/observations/4297142,,25.6663816024,-100.2979458442,,,false,Gulf Coast Toad,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
4431272,Central Time (US & Canada),research,CC-BY-NC,http://conabio.inaturalist.org/observations/4431272,,25.5978687359,-100.2597954869,,,false,Gulf Coast Toad,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
4595411,Ekaterinburg,research,CC-BY-NC,http://www.inaturalist.org/observations/4595411,,25.5498714447,-100.2703857422,,,false,Camp's Frog,Eleutherodactylus campi,Rana Chirriadora Mexicana,Amphibia,1146656
5068116,Ekaterinburg,research,CC-BY-NC,https://www.inaturalist.org/observations/5068116,,25.5489501953,-100.2701034546,,,false,Mexican Smilisca,Smilisca baudinii,Rana arborícola mexicana,Amphibia,24277
5086614,Central Time (US & Canada),research,CC-BY-NC,http://conabio.inaturalist.org/observations/5086614,,25.5486802389,-100.2708470826,,,false,Rheohyla miotympanum,Rheohyla miotympanum,Calates,Amphibia,554652
5086615,Central Time (US & Canada),research,CC-BY-NC,http://conabio.inaturalist.org/observations/5086615,,25.5486213536,-100.2707514167,,,false,Mexican Smilisca,Smilisca baudinii,Rana arborícola mexicana,Amphibia,24277
5189486,Central Time (US & Canada),research,CC-BY-NC,http://conabio.inaturalist.org/observations/5189486,,25.5338087222,-100.2774513889,,,false,Rheohyla miotympanum,Rheohyla miotympanum,Calates,Amphibia,554652
5207652,Central Time (US & Canada),research,,http://conabio.inaturalist.org/observations/5207652,,25.5322583665,-100.2773548366,,,false,Rheohyla miotympanum,Rheohyla miotympanum,Calates,Amphibia,554652
5500819,Hawaii,research,,http://conabio.inaturalist.org/observations/5500819,,25.6787037,-100.2843011,,,false,Sapo nebuloso,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
6047635,Central Time (US & Canada),research,CC-BY-NC-SA,http://conabio.inaturalist.org/observations/6047635,,25.5325892222,-100.2773219444,,,false,Rheohyla miotympanum,Rheohyla miotympanum,Calates,Amphibia,554652
