id,time_zone,quality_grade,license,url,sound_url,latitude,longitude,private_latitude,private_longitude,coordinates_obscured,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
273496,Monterrey,research,,http://conabio.inaturalist.org/observations/273496,,25.720039,-100.31436,,,false,Águila pescadora,Pandion haliaetus,Águila Pescadora,Aves,116999
273599,Monterrey,research,CC-BY-NC,http://conabio.inaturalist.org/observations/273599,,25.537794,-100.27256,,,false,Chipe gorra rufa,Basileuterus rufifrons,Chipe Gorra Canela Común,Aves,10045
274338,Monterrey,research,CC-BY-NC,http://conabio.inaturalist.org/observations/274338,,25.544726,-100.271187,,,false,Rascador oliváceo,Arremonops rufivirgatus,Rascador oliváceo,Aves,10173
279552,Monterrey,research,,http://www.inaturalist.org/observations/279552,,25.720782,-100.313845,,,false,Bienteveo común,Pitangus sulphuratus,Luis Bienteveo,Aves,16956
279555,Monterrey,research,,http://www.inaturalist.org/observations/279555,,25.713358,-100.31363,,,false,Zambullidor pico grueso,Podilymbus podiceps,Zambullidor pico grueso,Aves,4246
279560,Monterrey,research,,http://www.inaturalist.org/observations/279560,,25.714806,-100.313727,,,false,Paloma ala blanca,Zenaida asiatica,Paloma Alas Blancas,Aves,3460
279563,Monterrey,research,,http://www.inaturalist.org/observations/279563,,25.71487,-100.313995,,,false,Mirlo pardo,Turdus grayi,Mirlo Café,Aves,12720
279565,Monterrey,research,,http://www.inaturalist.org/observations/279565,,25.714483,-100.313179,,,false,Piranga capucha roja,Piranga ludoviciana,Piranga capucha roja,Aves,9919
279567,Monterrey,research,,http://www.inaturalist.org/observations/279567,,25.713633,-100.313593,,,false,Carpintero chejé,Melanerpes aurifrons,Carpintero cheje,Aves,18167
279570,Monterrey,research,,http://www.inaturalist.org/observations/279570,,25.713743,-100.31319,,,false,Estornino pinto,Sturnus vulgaris,Estornino Pinto,Aves,14850
279573,Monterrey,research,,http://www.inaturalist.org/observations/279573,,25.714883,-100.314006,,,false,Vermilion Flycatcher,Pyrocephalus rubinus,Papamoscas cardenalito,Aves,16447
279603,Monterrey,research,,http://www.inaturalist.org/observations/279603,,25.555397,-100.26608,,,false,Cuitlacoche pico largo,Toxostoma longirostre,Cuicacoche pico largo,Aves,14895
279606,Monterrey,research,,http://www.inaturalist.org/observations/279606,,25.547448,-100.270736,,,false,Elegant Trogon,Trogon elegans,Coa Elegante,Aves,20781
279607,Monterrey,research,,http://www.inaturalist.org/observations/279607,,25.556272,-100.264921,,,false,Chachalaca vetula,Ortalis vetula,Chachalaca Oriental,Aves,2090
279610,Monterrey,research,,http://www.inaturalist.org/observations/279610,,25.55354,-100.267721,,,false,Paloma morada,Patagioenas flavirostris,Paloma morada,Aves,3117
279616,Monterrey,research,,http://www.inaturalist.org/observations/279616,,25.563593,-100.258677,,,false,Maullador gris,Dumetella carolinensis,Maullador gris,Aves,14995
279627,Monterrey,research,,http://www.inaturalist.org/observations/279627,,25.562675,-100.258956,,,false,Black-crested Titmouse,Baeolophus atricristatus,Carbonero cresta negra,Aves,13631
