id,time_zone,quality_grade,license,url,sound_url,latitude,longitude,private_latitude,private_longitude,coordinates_obscured,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
4978511,Almaty,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/4978511,,25.6774616241,-100.2846832275,,,false,Vesper Bats,Vespertilioninae,,Mammalia,846180
5178508,Central Time (US & Canada),research,CC-BY-NC,http://conabio.inaturalist.org/observations/5178508,,25.5497829444,-100.2699046944,,,false,Miotis californiano,Myotis californicus,Murciélago ratón de California,Mammalia,40342
5427789,Almaty,research,CC-BY-NC,https://www.inaturalist.org/observations/5427789,,25.6798801422,-100.2819519043,,,false,Murciélago cola suelta brasileño,Tadarida brasiliensis,Murciélago mexicano cola suelta,Mammalia,41301
6554014,Central Time (US & Canada),research,CC-BY,http://conabio.inaturalist.org/observations/6554014,,25.6773166667,-100.2845,,,false,Pipistrelo del oeste americano,Parastrellus hesperus,Murciélago de Cañón,Mammalia,183164
6578230,Central Time (US & Canada),needs_id,CC-BY-NC,https://www.inaturalist.org/observations/6578230,,25.6773445948,-100.284658223,,,false,Pipistrelo del oeste americano,Parastrellus hesperus,Murciélago de Cañón,Mammalia,183164
6828747,Central Time (US & Canada),research,CC-BY-NC,http://conabio.inaturalist.org/observations/6828747,,25.6075084722,-100.2626061944,,,false,Murciélago cola suelta brasileño,Tadarida brasiliensis,Murciélago mexicano cola suelta,Mammalia,41301
7792847,Central Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/7792847,,25.5513710037,-100.2259681596,,,false,Mexican Free-tailed Bat,Tadarida brasiliensis,Murciélago mexicano cola suelta,Mammalia,41301
13559245,Central Time (US & Canada),needs_id,CC-BY-NC,https://www.inaturalist.org/observations/13559245,,25.6770633333,-100.2844383333,,,false,Hairy-tailed Bats,Lasiurus,Murciélagos de cola peluda,Mammalia,40516
21615098,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/21615098,,25.6757202148,-100.2928161621,,,false,Murciélago cola suelta brasileño,Tadarida brasiliensis,Murciélago mexicano cola suelta,Mammalia,41301
34551294,UTC,needs_id,,https://www.inaturalist.org/observations/34551294,,25.6562541592,-100.2881859594,,,false,Vesper Bats,Vespertilioninae,,Mammalia,846180
44156782,UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/44156782,,25.6333969055,-100.3142612662,,,false,Miotis californiano,Myotis californicus,Murciélago ratón de California,Mammalia,40342
45821106,UTC,research,,https://www.inaturalist.org/observations/45821106,,25.7339823134,-100.3287399933,,,false,Murciélago cola suelta,Tadarida brasiliensis,Murciélago mexicano cola suelta,Mammalia,41301
